hid,bid,token_count,token_sequence
52054,CA_201720180AB92,18,PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> BILL_AUTHOR -> SECRETARY -> PUBLIC -> SECRETARY -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR
52363,CA_201720180AB1223,27,BILL_AUTHOR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PUBLIC
52363,CA_201720180AB77,25,PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR
52780,CA_201720180AB262,11,PRESIDING_CHAIR -> SECRETARY -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> SECRETARY -> PRESIDING_CHAIR -> BILL_AUTHOR -> SECRETARY -> PRESIDING_CHAIR -> BILL_AUTHOR
52773,CA_201720180AB749,33,PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> SECRETARY -> BILL_AUTHOR -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR
52773,CA_201720180AB32,9,PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> BILL_AUTHOR
52773,CA_201720180AB632,27,PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> SECRETARY -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR
54113,CA_201720180SB574,53,PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> BILL_AUTHOR -> SECRETARY -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PUBLIC -> BILL_AUTHOR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> BILL_AUTHOR -> SECRETARY -> BILL_AUTHOR
54013,CA_201720180SJR6,12,NONLEGISLATOR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> BILL_AUTHOR -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR
254735,CA_201720180AB2361,29,PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> EXPERT -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> EXPERT -> BILL_AUTHOR -> PRESIDING_CHAIR
