row_index,state,bid,hid,uid,current_section,recommended_section,justification,text_excerpt
11,CA,CA_201520160AB2050,255341,11,VOTE,INTRO,Secretary is taking attendance/establishing quorum rather than recording a bill vote.,PRESIDING_CHAIR here stone here gaines here hill here lara here skinner stern
12,CA,CA_201520160AB2050,255341,12,VOTE,PUBLIC_COMMENTS,"Chair is managing witness/public-comment flow, not conducting a vote.",A quorum is established thank you next witness
13,CA,CA_201520160AB2050,255341,13,VOTE,EXPERT_TESTIMONY,"Pre-motion substantive testimony from an expert/organization witness, not vote procedure.",good morning mr chairman and members NONLEGISLATOR i'm here representing ORG in very strong support thank you good morning chair and members of the ORG pamela miller representing ORG and we are in support I want to just take a brief moment and thank the author and the sponsors this is a very complic
14,CA,CA_201520160AB2050,255341,14,VOTE,PUBLIC_COMMENTS,Pre-motion public/organization support or opposition statement was mislabeled VOTE.,good morning NONLEGISLATOR from ORG on behalf of ORG in support and also ORG just moved for a support position on BILL so we'll be following up with a formal letter soon thank you
15,CA,CA_201520160AB2050,255341,15,VOTE,PUBLIC_COMMENTS,Pre-motion public/organization support or opposition statement was mislabeled VOTE.,good morning keira ross on behalf of GPE in support of BILL cara martinson on behalf of ORG in support
16,CA,CA_201520160AB2050,255341,16,VOTE,PUBLIC_COMMENTS,Pre-motion public/organization support or opposition statement was mislabeled VOTE.,good morning NONLEGISLATOR on behalf of ORG in support
17,CA,CA_201520160AB2050,255341,17,VOTE,PUBLIC_COMMENTS,Pre-motion public/organization support or opposition statement was mislabeled VOTE.,good morning NONLEGISLATOR on behalf of ORG in support
18,CA,CA_201520160AB2050,255341,18,VOTE,PUBLIC_COMMENTS,Pre-motion public/organization support or opposition statement was mislabeled VOTE.,good morning NONLEGISLATOR on behalf of ORG ORG GPE all in support also here for western municipal water district who couldn't be here thank you
19,CA,CA_201520160AB2050,255341,19,VOTE,PUBLIC_COMMENTS,Pre-motion public/organization support or opposition statement was mislabeled VOTE.,good morning NONLEGISLATOR on behalf of ORG in support
20,CA,CA_201520160AB2050,255341,20,VOTE,PUBLIC_COMMENTS,Pre-motion public/organization support or opposition statement was mislabeled VOTE.,good morning NONLEGISLATOR here today on behalf of ORG of californians in support
21,CA,CA_201520160AB2050,255341,21,VOTE,PUBLIC_COMMENTS,Pre-motion public/organization support or opposition statement was mislabeled VOTE.,good morning NONLEGISLATOR on behalf las virgenes water district and ORG GPE in support
