state,bid,hid,uid,pid,speaker.position,speaker.position_value,speaker.is_presiding,relative_position,sent_count,mentions_speaker,mentions_bill,speech_act_cues,section_cues,section,text,vote_section,proposed_section,justification,text_excerpt
CA,CA_201520160AB237,255104,61,53,LEGISLATOR,2.0,0,0.953125,2,0,0,,,PUBLIC_COMMENTS,yes absolutely I have a lot of bills,,CLOSING_REMARKS,This is the author/member closing response following an explicit invitation to close and immediately preceding the vote.,yes absolutely I have a lot of bills
CA,CA_201720180AB1013,254930,5,36368,CHAIRMAN,6.0,0,0.3333333333333333,8,0,0,,,PUBLIC_COMMENTS,thank you for your testimony sir any other witnesses in support seeing none do we have anyone in opposition seeing none ORG questions comments I know the secretary of ORG during the timeline of the last bill was still working on certification standards and it is my understanding that those certification standards are complete so hopefully we don't run into some of the same issues with our ORG but I still remain in support of BILL and appreciate you bringing it forward ORG so with that i'll allow you to close,,CLOSING_REMARKS,"The utterance is a transition into closing remarks: it may note a motion, but its operative cue asks the author to close before roll call.",thank you for your testimony sir any other witnesses in support seeing none do we have anyone in opposition seeing none ORG questions comments I know the secretary of ORG during the timeline of the last bill was still working on certification standards and it is my understanding that those certification standards are c
CA,CA_201720180AB1013,254930,7,36368,CHAIRMAN,6.0,0,0.4666666666666667,1,0,0,,,LEGISLATOR_DISCUSSION,all right do we have a motion,,VOTE,"The utterance begins or conducts voting activity: motion, roll-call instruction, tally, open-roll handling, or bill disposition.",all right do we have a motion
CA,CA_201720180AB1062,52583,5,8,LEGISLATOR,2.0,0,0.625,2,0,0,,,PUBLIC_COMMENTS,you guys are so smart and good looking I trust you'll do the right thing,,CLOSING_REMARKS,This is the author/member closing response following an explicit invitation to close and immediately preceding the vote.,you guys are so smart and good looking I trust you'll do the right thing
CA,CA_201720180AB1316,53957,11,103,PRESIDING_CHAIR,7.0,0,0.6875,4,0,0,,,PUBLIC_COMMENTS,thank you opposition questions comments seeing none we have a motion by senator roth would you like to close,,CLOSING_REMARKS,"The utterance is a transition into closing remarks: it may note a motion, but its operative cue asks the author to close before roll call.",thank you opposition questions comments seeing none we have a motion by senator roth would you like to close
CA,CA_201720180AB1316,53957,12,23,LEGISLATOR,2.0,0,0.75,1,0,0,,,PUBLIC_COMMENTS,thank you,,CLOSING_REMARKS,This is the author/member closing response following an explicit invitation to close and immediately preceding the vote.,thank you
CA,CA_201720180AB1316,53957,13,103,PRESIDING_CHAIR,7.0,0,0.8125,2,0,1,,,LEGISLATOR_DISCUSSION,okay we have item number 11 AB 1316 due pass as amended to ORG call the members please,,VOTE,"The utterance begins or conducts voting activity: motion, roll-call instruction, tally, open-roll handling, or bill disposition.",okay we have item number 11 AB 1316 due pass as amended to ORG call the members please
CA,CA_201720180AB1423,52479,4,101332,PRESIDING_CHAIR,7.0,0,0.3076923076923077,9,1,0,,,PUBLIC_COMMENTS,thank you very much are there witnesses in opposition seeing none are there questions of the ORG is there a motion you have a motion and a second from mr gray mr LEGISLATOR would you like to close,,CLOSING_REMARKS,"The utterance is a transition into closing remarks: it may note a motion, but its operative cue asks the author to close before roll call.",thank you very much are there witnesses in opposition seeing none are there questions of the ORG is there a motion you have a motion and a second from mr gray mr LEGISLATOR would you like to close
CA,CA_201720180AB1423,52479,5,7,LEGISLATOR,2.0,0,0.3846153846153846,0,0,0,,,PUBLIC_COMMENTS,respectfully,,CLOSING_REMARKS,This is the author/member closing response following an explicit invitation to close and immediately preceding the vote.,respectfully
CA,CA_201720180AB1578,52383,29,10,COMMITTEE_MEMBER,4.0,0,0.8285714285714286,9,0,0,,,PUBLIC_COMMENTS,any other I do have just quick comments obviously we've worked together on this issue very very closely i'm very proud of our work and what we're able to accomplish however I have a very deep deep concern that was expressed by these folks here in opposition because I think anytime that we encourage confrontation between us and the federal government especially law enforcement allies that creates a relationship that is not workable and for us and to use the language so specific that we're not even supposed to respond I think is unfair and I don't think that that allow us to accomplish our mutual mission which is to provide public safety and I think engagement and discussion has to be encouraged not discouraged and I don't think that putting up a wall between the two agencies is the right path so if for some way we could mitigate that confrontation i'd be able to support this but as it is in it's current form I can't because that relationship needs to be encouraged not discouraged,,CLOSING_REMARKS,This is the author/member closing response following an explicit invitation to close and immediately preceding the vote.,any other I do have just quick comments obviously we've worked together on this issue very very closely i'm very proud of our work and what we're able to accomplish however I have a very deep deep concern that was expressed by these folks here in opposition because I think anytime that we encourage confrontation betwee
CA,CA_201720180AB2316,255190,15,96,PRESIDING_CHAIR,7.0,0,0.75,9,0,0,,,PUBLIC_COMMENTS,okay thank you other witnesses in support someone's coming no all right witnesses in opposition okay seeing no witnesses in opposition questions from ORG seeing none bill's been moved by senator roth the motion will be do pass with amendments to appropriations I want to thank you so much assemblyman eggman for working to take those amendments and appreciate you for bringing BILL forward would you like to close,,CLOSING_REMARKS,"The utterance is a transition into closing remarks: it may note a motion, but its operative cue asks the author to close before roll call.",okay thank you other witnesses in support someone's coming no all right witnesses in opposition okay seeing no witnesses in opposition questions from ORG seeing none bill's been moved by senator roth the motion will be do pass with amendments to appropriations I want to thank you so much assemblyman eggman for working 
CA,CA_201720180AB2316,255190,16,165448,LEGISLATOR,2.0,0,0.8,2,0,0,,,PUBLIC_COMMENTS,I just thank you very much for the it's received full bipartisan support so far and look forward to that continuing and also to point out one of my witnesses is also a constituent and we thank her for her long time work in advocating for people with mental health issues,,CLOSING_REMARKS,This is the author/member closing response following an explicit invitation to close and immediately preceding the vote.,I just thank you very much for the it's received full bipartisan support so far and look forward to that continuing and also to point out one of my witnesses is also a constituent and we thank her for her long time work in advocating for people with mental health issues
CA,CA_201720180AB2394,254800,12,7492,COMMITTEE_MEMBER,4.0,0,0.7058823529411765,2,0,0,,,VOTE,other questions and comments from the ORG seeing none would you like to close,DISCUSSION,CLOSING_REMARKS,"The utterance is a transition into closing remarks: it may note a motion, but its operative cue asks the author to close before roll call.",other questions and comments from the ORG seeing none would you like to close
CA,CA_201720180AB2479,254654,9,100934,LEGISLATOR,2.0,0,0.5625,3,0,0,,,PUBLIC_COMMENTS,yes sir this is a financial agreement between parties and it's organized through the universities so many of the same donors that support universities will support students under incredibly favorable conditions,,CLOSING_REMARKS,This is the author/member closing response following an explicit invitation to close and immediately preceding the vote.,yes sir this is a financial agreement between parties and it's organized through the universities so many of the same donors that support universities will support students under incredibly favorable conditions
