row_index,bid,uid,old_section,new_section,reason,text_excerpt
7,CA_201720180AB1062,2,PUBLIC_COMMENTS,EXPERT_TESTIMONY,Department of Finance is explicitly called as the witness/opposition expert before public comments.,motion by well a motion by ms reyes a second by mr bocanegra do we have any speakers in support speakers in opposition department of finance
8,CA_201720180AB1062,3,PUBLIC_COMMENTS,EXPERT_TESTIMONY,Department of Finance is explicitly called as the witness/opposition expert before public comments.,no file
15,CA_201720180AB1397,2,PUBLIC_COMMENTS,EXPERT_TESTIMONY,Chair opens witness support and sponsor/support witness gives substantive testimony before public comments.,we have a motion by ms reyes second a second by mr quirk speakers in support
16,CA_201720180AB1397,3,PUBLIC_COMMENTS,EXPERT_TESTIMONY,Chair opens witness support and sponsor/support witness gives substantive testimony before public comments.,good morning anya lawler with the western center on law and poverty and the california legal assistance foundation we are the sponsors of the bill and here in support and to answer any questions
21,CA_201720180AB169,0,VOTE,OTHER,Refers explicitly to AB10 rather than current AB169; fallback OTHER for prior-bill cleanup.,who s next members we have a procedural issue we need to address quickly what i d like to do is lift the call on ab10 without objection i m rescinding the motion whereby the bill was referred to appropriations and we need a new motion to due pass and refer to 
22,CA_201720180AB169,1,VOTE,OTHER,Refers explicitly to AB10 rather than current AB169; fallback OTHER for prior-bill cleanup.,so moved second it s been moved and seconded that will be the order please call the role o donnell aye o donnell aye chavez aye chavez aye gloria aye gloria aye aye so are you in the
23,CA_201720180AB169,2,VOTE,OTHER,Refers explicitly to AB10 rather than current AB169; fallback OTHER for prior-bill cleanup.,this is ab 10 ms garcia s bill what we re doing is we re restating the motion so we rescinded the original motion and the motion now is to do pass and refer to the committee on housing and community development the bill is now being double referred which was a
46,CA_201720180AB169,25,EXPERT_TESTIMONY,LEGISLATOR_DISCUSSION,Witness answer occurs inside legislator Q&A after public comments; do not reopen EXPERT_TESTIMONY.,so in terms of data there haven t been any studies about which amounts there s a few studies showing that really small amounts don t have any effect a lot of the programs that are studied that are effective tend to be in the 20 30 000 range
58,CA_201720180AB221,8,EXPERT_TESTIMONY,PUBLIC_COMMENTS,"After the chair opens broader support/opposition comments, these are public/opposition comments, not a renewed expert-testimony block.",thank you mr chairman and members of the committee christie balma on behalf of the california professional firefighters we re strongly opposed to the measure it s been said repeatedly but i ll state it again we agree on the problem we even honor this author an
60,CA_201720180AB221,10,EXPERT_TESTIMONY,PUBLIC_COMMENTS,"After the chair opens broader support/opposition comments, these are public/opposition comments, not a renewed expert-testimony block.",thank you mr chair and members amy jarvin with the california medical association also in opposition to the bill the system is already difficult for physicians and injured workers to secure medical treatment coverage especially when it comes to occupational di
61,CA_201720180AB221,11,EXPERT_TESTIMONY,PUBLIC_COMMENTS,"After the chair opens broader support/opposition comments, these are public/opposition comments, not a renewed expert-testimony block.",further increase frictional costs and delays in the system i respectfully ask for your no vote
63,CA_201720180AB221,13,EXPERT_TESTIMONY,PUBLIC_COMMENTS,"After the chair opens broader support/opposition comments, these are public/opposition comments, not a renewed expert-testimony block.",thank you mr chair and members mitch seaman with the california labor federation also in opposition to this bill in addition to all the reasons previously stated we oppose this bill we re really concerned about what the effect of this could be in practice we a
67,CA_201720180AB221,17,EXPERT_TESTIMONY,PUBLIC_COMMENTS,"After the chair opens broader support/opposition comments, these are public/opposition comments, not a renewed expert-testimony block.",carl brackensiek on behalf of the california society of industrial medicine and surgery we are opposed we ve heard some excellent arguments in opposition to this legislation the bottom line is this bill will have a chilling effect on physicians treating injure
68,CA_201720180AB221,18,EXPERT_TESTIMONY,PUBLIC_COMMENTS,"After the chair opens broader support/opposition comments, these are public/opposition comments, not a renewed expert-testimony block.",nathan on behalf of bowman associates i d like to just make the point that at the request of the bill s author my office had provided numerous concrete and particularized examples of bona fida ct claims that seen are and under 25 000 we strongly urge oppositio
69,CA_201720180AB221,19,EXPERT_TESTIMONY,PUBLIC_COMMENTS,"After the chair opens broader support/opposition comments, these are public/opposition comments, not a renewed expert-testimony block.",thank you mr chair and members of the committee jeremy smith here on behalf of the state building and construction trades council we re also opposed
70,CA_201720180AB221,20,EXPERT_TESTIMONY,PUBLIC_COMMENTS,"After the chair opens broader support/opposition comments, these are public/opposition comments, not a renewed expert-testimony block.",mark mendoza on behalf of sciu california we are also in opposition and would just like to align some of our concerns also raised by the professional firefighters and the labor federation
71,CA_201720180AB221,21,EXPERT_TESTIMONY,PUBLIC_COMMENTS,"After the chair opens broader support/opposition comments, these are public/opposition comments, not a renewed expert-testimony block.",mr chair and members randy perry with aaron reid and associates on behalf of borac in opposition thank you
72,CA_201720180AB221,22,EXPERT_TESTIMONY,PUBLIC_COMMENTS,"After the chair opens broader support/opposition comments, these are public/opposition comments, not a renewed expert-testimony block.",mr chair and members matthew siverling on behalf of the association for los angeles deputy sheriffs the los angeles police protective league and the los angeles county probation officers union askme local 685 all opposed thank you
79,CA_201720180AB221,29,EXPERT_TESTIMONY,LEGISLATOR_DISCUSSION,"Answer within member Q&A, so it belongs to legislator discussion rather than expert testimony.",thank you the 25 000 doesn t apply to any case that meets one of the four thresholds which are the fire fighters which are legitimate cases most of these cases are being settled for 2 500 why i think the question and a real question is why aren t the insurance
83,CA_201720180AB221,33,EXPERT_TESTIMONY,LEGISLATOR_DISCUSSION,"Answer within member Q&A, so it belongs to legislator discussion rather than expert testimony.",i don t either because what s adding cost is 2 500 settlement after 2 500 settlement multiplied by thousands and thousands of claims it s that spike in continuous trauma i talked about earlier that s where the cost is so if you take the profit out of the busin
93,CA_201720180AB221,43,VOTE,LEGISLATOR_DISCUSSION,Motion/second occurs before discussion and closing continue; voting section has not begun yet.,second there s a motion and a second any other questions or comments mr chu
103,CA_201720180AB221,53,LEGISLATOR_DISCUSSION,VOTE,"Roll remains open for absent members; this is voting administration, not legislator discussion.",there s three aye votes there s at least four members missing i think in other committees and so forth so we ll keep the roll open as long as practical
105,CA_201720180AB221,55,EXPERT_TESTIMONY,OTHER,Post-vote stray/commentary utterance; not current bill discussion or testimony.,all right well that was a good discussion inaudible
115,CA_201720180AB2281,9,EXPERT_TESTIMONY,PUBLIC_COMMENTS,"After public comments/opposition have opened, this is a public opposition/comment entry rather than expert testimony.",mr chairman and members of the committee shane gusman on behalf of engineers and scientists of california and the teamsters both of these unions represent clinical laboratory scientists in california we do have concerns with the bill and we have registered our
117,CA_201720180AB2281,11,EXPERT_TESTIMONY,PUBLIC_COMMENTS,"After public comments/opposition have opened, this is a public opposition/comment entry rather than expert testimony.",my name is kristen saad i m a clinical laboratory scientist i was licensed here in california i got my bachelor s at sacramento state which is a very specific bachelor s my courses are not offered as an associate s degree you can only get them if you got to a 
118,CA_201720180AB2281,12,EXPERT_TESTIMONY,PUBLIC_COMMENTS,"After public comments/opposition have opened, this is a public opposition/comment entry rather than expert testimony.",hi my name is sandra i m a cls i trained at valley children s hospital so one of the tests it s adding blood smear reviews not only are you looking at the red blood cells white blood cells but so you take a smear you re looking at the whole cell but now you se
122,CA_201720180AB2281,16,EXPERT_TESTIMONY,PUBLIC_COMMENTS,"After public comments/opposition have opened, this is a public opposition/comment entry rather than expert testimony.",i m gail jones i m a clinical laboratory scientist in roseville and i strongly oppose ab 2281 when we work in transfusion services we have the risk to kill people and when we work in hematology we often are the first people to determine when somebody has cance
132,CA_201720180AB2281,26,EXPERT_TESTIMONY,PUBLIC_COMMENTS,"After public comments/opposition have opened, this is a public opposition/comment entry rather than expert testimony.",hello my name is brynne williams i m a clinical lab scientist i m also a specialist in blood banking and i want to point out that the bill is being passed off as these are moderate complexity tests actually any aborh and any antibody screen that is used to det
139,CA_201720180AB2281,33,EXPERT_TESTIMONY,LEGISLATOR_DISCUSSION,Witness/technical response is embedded in legislator Q&A; do not intersperse EXPERT_TESTIMONY with legislator discussion.,so typically in most hematology laboratories you re doing cbcs on highly automated instrumentation that do typically a five part leukocyte differential in addition in many cases 85 to 90 of the samples i go through the machine will spread out the information t
149,CA_201720180AB2281,43,EXPERT_TESTIMONY,LEGISLATOR_DISCUSSION,Witness/technical response is embedded in legislator Q&A; do not intersperse EXPERT_TESTIMONY with legislator discussion.,i would agree let me clarify two things one it s always the responsibility of the laboratory director to make sure that every individual s working in the laboratory is competent to perform the task that they re assigned to so a mlt who is not competent to look
151,CA_201720180AB2281,45,EXPERT_TESTIMONY,LEGISLATOR_DISCUSSION,Witness/technical response is embedded in legislator Q&A; do not intersperse EXPERT_TESTIMONY with legislator discussion.,so in regards to the blood smear into the education again there s a big difference in you took about six months of clinical training afterwards after you got your associate s degree versus you spent literally two years in your bachelor s degree looking at bloo
