Unnamed: 0,hid,bid,state,uid,pid,text,prev_text,next_text,context_text,speaker_position,prev_speaker_position,next_speaker_position,is_legislator,is_committee_member,relative_position,word_count,mentions_bills,has_bill_action,has_presentation_cue,has_motion_cue,has_vote_cue,has_disposition_cue,aye_count,no_count,stage_label
0,52054,CA_201720180AB92,CA,0,165448,"Welcome, Mr. Bonta.",,"Thank you, I feel welcome.","PREV:  CURR: Welcome, Mr. Bonta. NEXT: Thank you, I feel welcome.",SpeakerPositionEnum.CHAIRMAN,unknown,SpeakerPositionEnum.LEGISLATOR,1,1,0.0,3,0,0,0,0,0,0,0,0,bill_focus_or_presentation
1,52054,CA_201720180AB92,CA,1,85,"Thank you, I feel welcome.","Welcome, Mr. Bonta.","And I know you were here earlier, and we appreciate your getting your steps in by coming back.","PREV: Welcome, Mr. Bonta. CURR: Thank you, I feel welcome. NEXT: And I know you were here earlier, and we appreciate your getting your steps in by coming back.",SpeakerPositionEnum.LEGISLATOR,SpeakerPositionEnum.CHAIRMAN,SpeakerPositionEnum.CHAIRMAN,1,0,0.0588235294117647,5,0,0,0,0,0,0,0,0,bill_focus_or_presentation
2,52054,CA_201720180AB92,CA,2,165448,"And I know you were here earlier, and we appreciate your getting your steps in by coming back.","Thank you, I feel welcome.","Thank you for encouraging them. Good to see you, good morning. I know in the last bill here, I'm very pleased to have the opportunity to present AB 92. Thank you. AB 92 will extend the sunset clause on the current 5% retention cap statute pertaining to public works projects from January 1, 2018 to January 1, 2023. This is a vital policy for the construction industry especially for small and emerging construction businesses. I think you have seen this policy before it's worked well in action and I think it deserves a five year additional extension and there's no opposition. Respectfully ask for your aye vote.","PREV: Thank you, I feel welcome. CURR: And I know you were here earlier, and we appreciate your getting your steps in by coming back. NEXT: Thank you for encouraging them. Good to see you, good morning. I know in the last bill here, I'm very pleased to have the opportunity to present AB 92. Thank you. AB 92 will extend the sunset clause on the current 5% retention cap statute pertaining to public works projects from January 1, 2018 to January 1, 2023. This is a vital policy for the construction industry especially for small and emerging construction businesses. I think you have seen this policy before it's worked well in action and I think it deserves a five year additional extension and there's no opposition. Respectfully ask for your aye vote.",SpeakerPositionEnum.CHAIRMAN,SpeakerPositionEnum.LEGISLATOR,SpeakerPositionEnum.LEGISLATOR,1,1,0.1176470588235294,18,0,0,0,0,0,0,0,0,bill_focus_or_presentation
3,52054,CA_201720180AB92,CA,3,85,"Thank you for encouraging them. Good to see you, good morning. I know in the last bill here, I'm very pleased to have the opportunity to present AB 92. Thank you. AB 92 will extend the sunset clause on the current 5% retention cap statute pertaining to public works projects from January 1, 2018 to January 1, 2023. This is a vital policy for the construction industry especially for small and emerging construction businesses. I think you have seen this policy before it's worked well in action and I think it deserves a five year additional extension and there's no opposition. Respectfully ask for your aye vote.","And I know you were here earlier, and we appreciate your getting your steps in by coming back.","Thank you very much, if witnesses would like to be brief, we'd love it.","PREV: And I know you were here earlier, and we appreciate your getting your steps in by coming back. CURR: Thank you for encouraging them. Good to see you, good morning. I know in the last bill here, I'm very pleased to have the opportunity to present AB 92. Thank you. AB 92 will extend the sunset clause on the current 5% retention cap statute pertaining to public works projects from January 1, 2018 to January 1, 2023. This is a vital policy for the construction industry especially for small and emerging construction businesses. I think you have seen this policy before it's worked well in action and I think it deserves a five year additional extension and there's no opposition. Respectfully ask for your aye vote. NEXT: Thank you very much, if witnesses would like to be brief, we'd love it.",SpeakerPositionEnum.LEGISLATOR,SpeakerPositionEnum.CHAIRMAN,SpeakerPositionEnum.CHAIRMAN,1,0,0.1764705882352941,110,1,0,0,0,1,0,1,1,vote
4,52054,CA_201720180AB92,CA,4,165448,"Thank you very much, if witnesses would like to be brief, we'd love it.","Thank you for encouraging them. Good to see you, good morning. I know in the last bill here, I'm very pleased to have the opportunity to present AB 92. Thank you. AB 92 will extend the sunset clause on the current 5% retention cap statute pertaining to public works projects from January 1, 2018 to January 1, 2023. This is a vital policy for the construction industry especially for small and emerging construction businesses. I think you have seen this policy before it's worked well in action and I think it deserves a five year additional extension and there's no opposition. Respectfully ask for your aye vote.","Madam Chair, members. Eddie Bernacchi, on behalf of the National Electrical Contractors Association and United Contractors, sponsors of the bill. I will keep it very brief. Our contractors have financial obligations of 100% when they're working on public works projects. When agencies hold more than 5% retention and only pay them less than 95% of the money that they're owed they have to go and borrow money from banks and pay interest on that. That drives up the cost of public works. We would urge your aye vote on this bill. It's an important public policy for us.","PREV: Thank you for encouraging them. Good to see you, good morning. I know in the last bill here, I'm very pleased to have the opportunity to present AB 92. Thank you. AB 92 will extend the sunset clause on the current 5% retention cap statute pertaining to public works projects from January 1, 2018 to January 1, 2023. This is a vital policy for the construction industry especially for small and emerging construction businesses. I think you have seen this policy before it's worked well in action and I think it deserves a five year additional extension and there's no opposition. Respectfully ask for your aye vote. CURR: Thank you very much, if witnesses would like to be brief, we'd love it. NEXT: Madam Chair, members. Eddie Bernacchi, on behalf of the National Electrical Contractors Association and United Contractors, sponsors of the bill. I will keep it very brief. Our contractors have financial obligations of 100% when they're working on public works projects. When agencies hold more than 5% retention and only pay them less than 95% of the money that they're owed they have to go and borrow money from banks and pay interest on that. That drives up the cost of public works. We would urge your aye vote on this bill. It's an important public policy for us.",SpeakerPositionEnum.CHAIRMAN,SpeakerPositionEnum.LEGISLATOR,SpeakerPositionEnum.NONLEGISLATOR,1,1,0.2352941176470588,15,0,0,0,0,0,0,0,0,public_testimony
5,52054,CA_201720180AB92,CA,5,1227,"Madam Chair, members. Eddie Bernacchi, on behalf of the National Electrical Contractors Association and United Contractors, sponsors of the bill. I will keep it very brief. Our contractors have financial obligations of 100% when they're working on public works projects. When agencies hold more than 5% retention and only pay them less than 95% of the money that they're owed they have to go and borrow money from banks and pay interest on that. That drives up the cost of public works. We would urge your aye vote on this bill. It's an important public policy for us.","Thank you very much, if witnesses would like to be brief, we'd love it.","Madam Chair, Members of the Committee. Chris Walker on behalf of the California Sheet Metal Air Conditioning Contractors. We worked on the original bill several years ago, We would support the five year extension. As Mr. Bernachi has said, this is important so that we're not put in a position our contractors, particularly the smaller and medium sized contractors, are not put into position of financing public works projects. And it leads to a lack of competitiveness, it leads to higher costs. So, we support the bill. Thank you very much.","PREV: Thank you very much, if witnesses would like to be brief, we'd love it. CURR: Madam Chair, members. Eddie Bernacchi, on behalf of the National Electrical Contractors Association and United Contractors, sponsors of the bill. I will keep it very brief. Our contractors have financial obligations of 100% when they're working on public works projects. When agencies hold more than 5% retention and only pay them less than 95% of the money that they're owed they have to go and borrow money from banks and pay interest on that. That drives up the cost of public works. We would urge your aye vote on this bill. It's an important public policy for us. NEXT: Madam Chair, Members of the Committee. Chris Walker on behalf of the California Sheet Metal Air Conditioning Contractors. We worked on the original bill several years ago, We would support the five year extension. As Mr. Bernachi has said, this is important so that we're not put in a position our contractors, particularly the smaller and medium sized contractors, are not put into position of financing public works projects. And it leads to a lack of competitiveness, it leads to higher costs. So, we support the bill. Thank you very much.",SpeakerPositionEnum.NONLEGISLATOR,SpeakerPositionEnum.CHAIRMAN,SpeakerPositionEnum.NONLEGISLATOR,0,0,0.2941176470588235,101,0,0,1,0,0,0,1,0,public_testimony
6,52054,CA_201720180AB92,CA,6,177,"Madam Chair, Members of the Committee. Chris Walker on behalf of the California Sheet Metal Air Conditioning Contractors. We worked on the original bill several years ago, We would support the five year extension. As Mr. Bernachi has said, this is important so that we're not put in a position our contractors, particularly the smaller and medium sized contractors, are not put into position of financing public works projects. And it leads to a lack of competitiveness, it leads to higher costs. So, we support the bill. Thank you very much.","Madam Chair, members. Eddie Bernacchi, on behalf of the National Electrical Contractors Association and United Contractors, sponsors of the bill. I will keep it very brief. Our contractors have financial obligations of 100% when they're working on public works projects. When agencies hold more than 5% retention and only pay them less than 95% of the money that they're owed they have to go and borrow money from banks and pay interest on that. That drives up the cost of public works. We would urge your aye vote on this bill. It's an important public policy for us.","Madam Chair, Members, Mike Monaghan on behalf of the California State Association of Electrical Workers, the California State Pipe Trades Council, Western States Council of Sheet Metal Workers. And my idea of brevity is that I ask for your aye vote.","PREV: Madam Chair, members. Eddie Bernacchi, on behalf of the National Electrical Contractors Association and United Contractors, sponsors of the bill. I will keep it very brief. Our contractors have financial obligations of 100% when they're working on public works projects. When agencies hold more than 5% retention and only pay them less than 95% of the money that they're owed they have to go and borrow money from banks and pay interest on that. That drives up the cost of public works. We would urge your aye vote on this bill. It's an important public policy for us. CURR: Madam Chair, Members of the Committee. Chris Walker on behalf of the California Sheet Metal Air Conditioning Contractors. We worked on the original bill several years ago, We would support the five year extension. As Mr. Bernachi has said, this is important so that we're not put in a position our contractors, particularly the smaller and medium sized contractors, are not put into position of financing public works projects. And it leads to a lack of competitiveness, it leads to higher costs. So, we support the bill. Thank you very much. NEXT: Madam Chair, Members, Mike Monaghan on behalf of the California State Association of Electrical Workers, the California State Pipe Trades Council, Western States Council of Sheet Metal Workers. And my idea of brevity is that I ask for your aye vote.",SpeakerPositionEnum.NONLEGISLATOR,SpeakerPositionEnum.NONLEGISLATOR,SpeakerPositionEnum.NONLEGISLATOR,0,0,0.3529411764705882,92,0,0,0,0,0,0,0,0,public_testimony
7,52054,CA_201720180AB92,CA,7,2606,"Madam Chair, Members, Mike Monaghan on behalf of the California State Association of Electrical Workers, the California State Pipe Trades Council, Western States Council of Sheet Metal Workers. And my idea of brevity is that I ask for your aye vote.","Madam Chair, Members of the Committee. Chris Walker on behalf of the California Sheet Metal Air Conditioning Contractors. We worked on the original bill several years ago, We would support the five year extension. As Mr. Bernachi has said, this is important so that we're not put in a position our contractors, particularly the smaller and medium sized contractors, are not put into position of financing public works projects. And it leads to a lack of competitiveness, it leads to higher costs. So, we support the bill. Thank you very much.","Thank you very much. I like that idea. Anybody speaking in opposition today? Would you like to, any questions from the Committee, yes?","PREV: Madam Chair, Members of the Committee. Chris Walker on behalf of the California Sheet Metal Air Conditioning Contractors. We worked on the original bill several years ago, We would support the five year extension. As Mr. Bernachi has said, this is important so that we're not put in a position our contractors, particularly the smaller and medium sized contractors, are not put into position of financing public works projects. And it leads to a lack of competitiveness, it leads to higher costs. So, we support the bill. Thank you very much. CURR: Madam Chair, Members, Mike Monaghan on behalf of the California State Association of Electrical Workers, the California State Pipe Trades Council, Western States Council of Sheet Metal Workers. And my idea of brevity is that I ask for your aye vote. NEXT: Thank you very much. I like that idea. Anybody speaking in opposition today? Would you like to, any questions from the Committee, yes?",SpeakerPositionEnum.NONLEGISLATOR,SpeakerPositionEnum.NONLEGISLATOR,SpeakerPositionEnum.CHAIRMAN,0,0,0.4117647058823529,41,0,0,0,0,0,0,1,0,public_testimony
8,52054,CA_201720180AB92,CA,8,165448,"Thank you very much. I like that idea. Anybody speaking in opposition today? Would you like to, any questions from the Committee, yes?","Madam Chair, Members, Mike Monaghan on behalf of the California State Association of Electrical Workers, the California State Pipe Trades Council, Western States Council of Sheet Metal Workers. And my idea of brevity is that I ask for your aye vote.","Just a comment, Mr. Bonta, and the supporters of the bill. As a former contractor, there have been many entities that do play around with the retention monies. And it has, it can damage a company's ability to pay their employees, and actually not want to bid public works projects because of this. So this is a protection that we need to make sure that we put in statute, not a sunset, it has to be permanent because its imperative that we actually partner with contractors rather than make adversarial positions going forward. So thank you for bringing the bill forward again.","PREV: Madam Chair, Members, Mike Monaghan on behalf of the California State Association of Electrical Workers, the California State Pipe Trades Council, Western States Council of Sheet Metal Workers. And my idea of brevity is that I ask for your aye vote. CURR: Thank you very much. I like that idea. Anybody speaking in opposition today? Would you like to, any questions from the Committee, yes? NEXT: Just a comment, Mr. Bonta, and the supporters of the bill. As a former contractor, there have been many entities that do play around with the retention monies. And it has, it can damage a company's ability to pay their employees, and actually not want to bid public works projects because of this. So this is a protection that we need to make sure that we put in statute, not a sunset, it has to be permanent because its imperative that we actually partner with contractors rather than make adversarial positions going forward. So thank you for bringing the bill forward again.",SpeakerPositionEnum.CHAIRMAN,SpeakerPositionEnum.NONLEGISLATOR,SpeakerPositionEnum.LEGISLATOR,1,1,0.4705882352941176,23,0,0,0,0,0,0,0,0,public_testimony
9,52054,CA_201720180AB92,CA,9,114,"Just a comment, Mr. Bonta, and the supporters of the bill. As a former contractor, there have been many entities that do play around with the retention monies. And it has, it can damage a company's ability to pay their employees, and actually not want to bid public works projects because of this. So this is a protection that we need to make sure that we put in statute, not a sunset, it has to be permanent because its imperative that we actually partner with contractors rather than make adversarial positions going forward. So thank you for bringing the bill forward again.","Thank you very much. I like that idea. Anybody speaking in opposition today? Would you like to, any questions from the Committee, yes?","We're only extending to 2023, but we serve to 2024 if the voters invite us back, so maybe you can get rid of it at some point, but today we're voting on just the sunset. Anybody else want to speak on this bill? All right, there's been a motion to second, and an aye recommendation. Secretary, please call the roll. You don't want to close, do you, Mr Bonta?","PREV: Thank you very much. I like that idea. Anybody speaking in opposition today? Would you like to, any questions from the Committee, yes? CURR: Just a comment, Mr. Bonta, and the supporters of the bill. As a former contractor, there have been many entities that do play around with the retention monies. And it has, it can damage a company's ability to pay their employees, and actually not want to bid public works projects because of this. So this is a protection that we need to make sure that we put in statute, not a sunset, it has to be permanent because its imperative that we actually partner with contractors rather than make adversarial positions going forward. So thank you for bringing the bill forward again. NEXT: We're only extending to 2023, but we serve to 2024 if the voters invite us back, so maybe you can get rid of it at some point, but today we're voting on just the sunset. Anybody else want to speak on this bill? All right, there's been a motion to second, and an aye recommendation. Secretary, please call the roll. You don't want to close, do you, Mr Bonta?",SpeakerPositionEnum.LEGISLATOR,SpeakerPositionEnum.CHAIRMAN,SpeakerPositionEnum.CHAIRMAN,1,1,0.5294117647058824,103,0,0,0,0,0,0,0,0,bill_focus_or_presentation
